original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier
128,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,368,.,sí Gonzalo sí ji ji ji ji .%mor: co|sí=yes n:prop|Gonzalo co|sí=yes co|ji=ha co|ji=ha co|ji=ha co|ji=ha .,%mor:
129,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,372,.,ha podido el elefante ha podido el elefante .%mor: aux|habe-3S&PRES=have part|pode-PPART-m=can det:art|el&m&SG=the n|elefante&m=elephant aux|habe-3S&PRES=have part|pode-PPART-m=can det:art|el&m&SG=the n|elefante&m=elephant .,%mor:
130,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,376,.,no Yaya .%mor: co|no n:prop|Yaya .,%mor:
131,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,378,.,un elefante sí .%mor: det:art|un&m=one n|elefante&m=elephant co|sí=yes .,%mor:
132,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,380,.,quiero un cacahuete .%mor: v|quere-1S&PRES=want det:art|un&m=one n|cacahuete&m=peanut .,%mor:
133,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,383,.,ah .%mor: co|ah .,%mor:
134,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,385,.,me das un cacahuete .%mor: pro:obj|me=me v|da-2S&PRES=give det:art|un&m=one n|cacahuete&m=peanut .,%mor:
135,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,388,.,está cenando el elefante .%mor: aux|esta-3S&PRES=be part|cena-PRPART=dine det:art|el&m&SG=the n|elefante&m=elephant .,%mor:
136,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,391,.,hace ruu@o (.) y ha hecho caca .%mor: imp|hace-2S&IMP=do on|ruu coord|y=and aux|habe-3S&PRES=have part|hace-PPART-m=do n|caca&f=feces .,%mor:
137,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,394,.,ya está .%mor: adv|ya=already cop|esta-3S&PRES=be .,%mor:
138,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,396,.,me das un cacahuete .%mor: pro:obj|me=me v|da-2S&PRES=give det:art|un&m=one n|cacahuete&m=peanut .,%mor:
139,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,399,.,"no tengo no , oye mira .%mor: adv|no=no v|tene-1S&PRES=have adv|no=no cm|cm co|oye=listen co|mira=look .",%mor:
140,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,402,.,sí .%mor: co|sí=yes .,%mor:
141,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,404,.,toma (.) cacahuetes toma .%mor: imp|toma-2S&IMP=take n|cacahuete&m-PL=peanut v|toma-3S&PRES=take .,%mor:
142,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,406,.,ha hecho caca el elefante .%mor: aux|habe-3S&PRES=have part|hace-PPART-m=do n|caca&f=feces det:art|el&m&SG=the n|elefante&m=elephant .,%mor:
143,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,409,?,que ?%mor: pro:rel|que=that ?,%mor:
144,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,411,.,que ha hecho caca .%mor: pro:rel|que=that aux|habe-3S&PRES=have part|hace-PPART-m=do n|caca&f=feces .,%mor:
145,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,414,.,pero bueno .%mor: conj|pero=but co|bueno=good .,%mor:
146,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,416,.,eh ya ha hecho la caca mirala .%mor: co|eh adv|ya=already aux|habe-3S&PRES=have part|hace-PPART-m=do det:art|el&f&SG=the n|caca&f=feces imp|mira-2S&IMP~pro:clit|OBJ&f=look .,%mor:
147,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,420,.,toma una oveja .%mor: v|toma-3S&PRES=take det:art|un-f=one n|oveja&f=ewe .,%mor:
148,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,422,.,que aquí es para caca de elefante .%mor: pro:rel|que=that adv|aquí=here cop|se-3S&PRES=be prep|para=for n|caca&f=feces prep|de=of n|elefante&m=elephant .,%mor:
149,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,425,!,ah !%mor: co|ah !,%mor:
150,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,427,.,se lo ha toma(d)o bloom@o bloom@o .%mor: pro:refl|se=itself pro:obj|le-m=him aux|habe-3S&PRES=have part|toma-PPART-m=take on|bloom on|bloom .,%mor:
151,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,431,.,no está que no está la oveja .%mor: adv|no=no cop|esta-3S&PRES=be pro:rel|que=that adv|no=no cop|esta-3S&PRES=be det:art|el&f&SG=the n|oveja&f=ewe .,%mor:
152,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,435,.,se la ha comido .%mor: pro:refl|se=itself pro:obj|la-f=she aux|habe-3S&PRES=have part|come-PPART-m=eat .,%mor:
153,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,438,.,ay ay .%mor: co|ay=ay co|ay=ay .,%mor:
154,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,440,.,voy a pasar la xxx (.) ale@b .%mor: v|i-1S&PRES=go prepart|a=to inf|pasa-INF=pass det:art|el&f&SG=the bab|ale .,%mor:
155,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,443,.,no ay ay que cuco madre me voy con con una mama una xxx .%mor: adv|no=no co|ay=ay co|ay=ay pro:rel|que=that v|cuca-1S&PRES=emerge_cocoon n|madre&f=mother pro:obj|me=me v|i-1S&PRES=go prep|con=with prep|con=with det:art|un-f=one n|mama&f=mamma det:art|un-f=one .,%mor:
156,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,448,.,tenes [: tienes][*] un si me gustan las pecas sí .%mor: v|tene-2S&PRES=have det:art|un&m=one conj|si=if pro:obj|me=me v|gusta-3P&PRES=like det:art|el&f-PL=the n|peca&f-PL=freckle co|sí=yes .,%mor:
157,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,452,.,va va chiquitín .%mor: co|va=go co|va=go n|chiquitín&m=infant .,%mor:
158,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,454,.,y y tu me voy a comer a ti .%mor: coord|y=and coord|y=and det:poss|tu=your pro:obj|me=me v|i-1S&PRES=go prepart|a=to inf|come-INF=eat prepart|a=to pro:prep|ti=you .,%mor:
159,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,458,.,ahí está te la cogí y me la comí y viene ya va y a ti .%mor: adv|ahí=there cop|esta-3S&PRES=be pro:obj|te=you pro:obj|la-f=she v|coge-1S&PRET=take coord|y=and pro:obj|me=me pro:obj|la-f=she v|come-1S&PRET=eat coord|y=and v|veni-3S&PRES=come adv|ya=already co|va=go coord|y=and prepart|a=to pro:prep|ti=you .,%mor:
160,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,463,.,no me las has comido y y comeré por aquí .%mor: adv|no=no pro:obj|me=me det:art|el&f-PL=the aux|habe-2S&PRES=have part|come-PPART-m=eat coord|y=and coord|y=and v|come-1S&FUT=eat prep|por=for adv|aquí=here .,%mor:
161,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,467,.,ya ya ya .%mor: adv|ya=already adv|ya=already adv|ya=already .,%mor:
162,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,469,.,"xxx rum@o rum@o rum@o y rum@o y se subió arriba , eh ji ji .%mor: on|rum on|rum on|rum coord|y=and on|rum coord|y=and pro:refl|se=itself v|subi-3S&PRET=go_up adv|arriba=above cm|cm co|eh co|ji=ha co|ji=ha .",%mor:
163,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,473,.,que la tene ta ta que tu madre y tu madre aquí no nos coge los cogí (.) con una xxx era una vez si me coge .%mor: pro:rel|que=that det:art|el&f&SG=the imp|tene-2S&IMP=have co|ta co|ta pro:rel|que=that det:poss|tu=your n|madre&f=mother coord|y=and det:poss|tu=your n|madre&f=mother adv|aquí=here adv|no=no pro:obj|nos=us v|coge-3S&PRES=take det:art|el&m-PL=the v|coge-1S&PRET=take prep|con=with det:art|un-f=one cop|se-13S&PAS=be det:art|un-f=one n|vez&f=turn conj|si=if pro:obj|me=me v|coge-3S&PRES=take .,%mor:
164,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,482,.,ahí está te veo ja ja te veo te veo te veo yo tambié(n) xxx yo no quiero la otra estoy sacando la xxx .%mor: adv|ahí=there cop|esta-3S&PRES=be pro:obj|te=you v|ve-1S&PRES=see co|ja=ha co|ja=ha pro:obj|te=you v|ve-1S&PRES=see pro:obj|te=you v|ve-1S&PRES=see pro:obj|te=you v|ve-1S&PRES=see pro:sub|yo=I adv|también=also pro:sub|yo=I adv|no=no v|quere-1S&PRES=want det:art|el&f&SG=the qn|otro-f=other aux|esta-1S&PRES=be part|saca-PRPART=bring_out det:art|el&f&SG=the .,%mor:
165,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,490,.,ay ay ay .%mor: co|ay=ay co|ay=ay co|ay=ay .,%mor:
166,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,492,.,yo yo .%mor: pro:sub|yo=I pro:sub|yo=I .,%mor:
167,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,494,!,uy un canguro !%mor: co|uy det:art|un&m=one n|canguro&m=kangaroo !,%mor:
168,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,496,.,se va Yuyu y canta .%mor: pro:refl|se=itself v|i-3S&PRES=go n:prop|Yuyu coord|y=and v|canta-3S&PRES=sing .,%mor:
169,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,499,.,ay ay ay .%mor: co|ay=ay co|ay=ay co|ay=ay .,%mor:
170,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,501,.,un canguro sí .%mor: det:art|un&m=one n|canguro&m=kangaroo co|sí=yes .,%mor:
171,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,503,.,ay ay ay .%mor: co|ay=ay co|ay=ay co|ay=ay .,%mor:
172,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,505,.,que no au mama no .%mor: pro:rel|que=that adv|no=no co|au=ow n|mama&f=mamma adv|no=no .,%mor:
173,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,507,.,mama .%mor: v|mama-3S&PRES=suck .,%mor:
174,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,509,.,aquí so .%mor: adv|aquí=here co|so .,%mor:
175,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,511,.,ia@b a@b dei@b .%mor: bab|ia bab|a bab|dei .,%mor:
176,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,513,.,to(d)avía no ha ido .%mor: adv|todavía=still adv|no=no aux|habe-3S&PRES=have part|i-PPART-m=go .,%mor:
177,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,516,.,si la toco am toma ah ya ha manda(d)o esta a_ver bien bien ya se la ha da(d)o xxx ya me y Juan Dias xxx esto que no .%mor: conj|si=if pro:obj|la-f=she v|toca-1S&PRES=touch co|am v|toma-3S&PRES=take co|ah adv|ya=already aux|habe-3S&PRES=have part|manda-PPART-m=order det:dem|este-f=this co|a_ver adv|bien=well adv|bien=well adv|ya=already pro:refl|se=itself pro:obj|la-f=she aux|habe-3S&PRES=have part|da-PPART-m=give adv|ya=already pro:obj|me=me coord|y=and n:prop|Juan n:prop|Dias pro:dem|esto=this_one pro:rel|que=that adv|no=no .,%mor:
178,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,526,.,lo quiere coger &gru (.) que ha pasa(d)o que lo voy a coger yo antes lo cojo tu no (.) así mira todos los dados (.) todos a cogerla ya tengo esa todos a cogerlos vas a cogerlos um xxx ahí va por ahí .%mor: pro:obj|le-m=him v|quere-3S&PRES=want inf|coge-INF=take pro:rel|que=that aux|habe-3S&PRES=have part|pasa-PPART-m=pass pro:rel|que=that pro:obj|le-m=him v|i-1S&PRES=go prepart|a=to inf|coge-INF=take pro:sub|yo=I adv|antes=before pro:obj|le-m=him v|coge-1S&PRES=take det:poss|tu=your adv|no=no adv|así=thus v|mira-3S&PRES=look qn|todo-m-PL=all det:art|el&m-PL=the imp|da-2P&IMP~pro:clit|2P=give qn|todo-m-PL=all prepart|a=to inf|coge-INF~pro:clit|OBJ&f=take adv|ya=already v|tene-1S&PRES=have det:dem|ese-f=that qn|todo-m-PL=all prepart|a=to inf|coge-INF~pro:clit|OBJ&m&PL=take v|i-2S&PRES=go prepart|a=to inf|coge-INF~pro:clit|OBJ&m&PL=take co|um adv|ahí=there v|i-3S&PRES=go prep|por=for adv|ahí=there .,%mor:
179,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,541,.,va va pi no .%mor: co|va=go co|va=go co|pi adv|no=no .,%mor:
180,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,543,?,quien tira los bichos ?%mor: pro:rel|quien=who v|tira-3S&PRES=throw det:art|el&m-PL=the n|bicho-m-PL=creature ?,%mor:
181,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,546,.,Jaime dos y yo uno .%mor: n:prop|Jaime det:num|dos=two coord|y=and pro:sub|yo=I pro:indef|uno=one .,%mor:
182,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,549,?,"sabéis lo que hago yo si los tiráis , no ?%mor: v|sabe-2P&PRES=know pro:obj|le-m=him pro:rel|que=that v|hace-1S&PRES=do pro:sub|yo=I conj|si=if det:art|el&m-PL=the v|tira-2P&PRES=throw cm|cm co|no ?",%mor:
183,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,553,.,que .%mor: pro:rel|que=that .,%mor:
184,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,555,.,ya sabéis lo que hago .%mor: adv|ya=already v|sabe-2P&PRES=know pro:obj|le-m=him pro:rel|que=that v|hace-1S&PRES=do .,%mor:
185,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,558,.,lo mandas a coger (.) lo vamos a coger .%mor: pro:obj|le-m=him v|manda-2S&PRES=order prepart|a=to inf|coge-INF=take pro:obj|le-m=him v|i-1P&PRES=go prepart|a=to inf|coge-INF=take .,%mor:
186,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,562,.,pues venga .%mor: co|pues=well co|venga=come_on .,%mor:
187,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,564,.,no Jaime Jaime no va a cogerlo .%mor: co|no n:prop|Jaime n:prop|Jaime adv|no=no v|i-3S&PRES=go prepart|a=to inf|coge-INF~pro:clit|OBJ&m=take .,%mor:
188,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,567,.,ha dicho ha dicho .%mor: aux|habe-3S&PRES=have part|deci-PPART-m=say aux|habe-3S&PRES=have part|deci-PPART-m=say .,%mor:
189,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,570,.,ay .%mor: co|ay=ay .,%mor:
190,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,573,.,ay ya salió .%mor: co|ay=ay adv|ya=already v|sali-3S&PRET=leave .,%mor:
191,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,575,.,va hijo va .%mor: co|va=go co|hijo=child co|va=go .,%mor:
192,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,577,.,aquí se cogen todos con el mío no .%mor: adv|aquí=here pro:refl|se=itself v|coge-3P&PRES=take qn|todo-m-PL=all prep|con=with det:art|el&m&SG=the pro:poss|mío-m=mine co|no .,%mor:
193,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,581,.,xxx .,%mor:
194,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,582,?,que haces ?%mor: pro:rel|que=that v|hace-2S&PRES=do ?,%mor:
195,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,584,.,xxx .,%mor:
196,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,585,.,no te bajes corazón (.) te caes .%mor: adv|no=no pro:obj|te=you v|baja-2S&SUB&PRES=come_down co|corazón=heart pro:obj|te=you v|cae-2S&PRES=fall .,%mor:
197,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,588,.,xxx di lo idiota que eres .%mor: imp|deci-2S&IMP=say pro:ind|le-m=him n|idiota&f=idiot pro:rel|que=that cop|se-2S&PRES=be .,%mor:
198,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,591,.,no no no .%mor: adv|no=no adv|no=no adv|no=no .,%mor:
199,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,593,!,no no te caes claro !%mor: adv|no=no adv|no=no pro:obj|te=you v|cae-2S&PRES=fall co|claro=obvious !,%mor:
200,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,596,.,no no .%mor: adv|no=no adv|no=no .,%mor:
201,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,598,.,vamos a cogerla y xxx yo me lo he pedido Jaime idiota .%mor: v|i-1P&PRES=go prepart|a=to inf|coge-INF~pro:clit|OBJ&f=take coord|y=and pro:sub|yo=I pro:obj|me=me pro:obj|le-m=him aux|habe-1S&PRES=have part|pedi-PPART-m=request n:prop|Jaime n|idiota&f=idiot .,%mor:
202,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,604,.,se cayó ahora .%mor: pro:refl|se=itself v|cae-3S&PRET=fall adv|ahora=now .,%mor:
203,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,606,?,oye Jaime no los tires ?%mor: v|oí-3S&PRES=hear n:prop|Jaime adv|no=no pro:ind|le-m-PL=him v|tira-2S&SUB&PRES=throw ?,%mor:
204,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,609,.,Jaime ha tirado los dos .%mor: n:prop|Jaime aux|habe-3S&PRES=have part|tira-PPART-m=throw det:art|el&m-PL=the det:num|dos=two .,%mor:
205,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,612,!,pues entonces (.) no te los dejamos claro !%mor: co|pues=well adv|entonces=then adv|no=no pro:obj|te=you pro:ind|le-m-PL=him v|deja-1P&PRES&PRET=leave co|claro=obvious !,%mor:
206,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,615,.,si los tiras .%mor: conj|si=if det:art|el&m-PL=the v|tira-2S&PRES=throw .,%mor:
207,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,617,.,no no .%mor: adv|no=no adv|no=no .,%mor:
208,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,619,.,no no no se tiran .%mor: adv|no=no adv|no=no adv|no=no pro:refl|se=itself v|tira-3P&PRES=throw .,%mor:
209,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,622,.,no no estoy durmiendo xxx .%mor: adv|no=no adv|no=no aux|esta-1S&PRES=be part|dormi-PRPART=sleep .,%mor:
210,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,624,.,oye Juan vas a tirar esto .%mor: co|oye=listen n:prop|Juan v|i-2S&PRES=go prepart|a=to inf|tira-INF=throw pro:dem|esto=this_one .,%mor:
211,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,627,.,no yo yo yo .%mor: adv|no=no pro:sub|yo=I pro:sub|yo=I pro:sub|yo=I .,%mor:
212,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,629,.,ven .%mor: co|ven=come .,%mor:
213,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,631,.,se se a que se lo dices a tirarla para que lo diga .%mor: pro:refl|se=itself pro:refl|se=itself prepart|a=to pro:rel|que=that pro:refl|se=itself pro:obj|le-m=him v|deci-2S&PRES=say prepart|a=to inf|tira-INF~pro:clit|OBJ&f=throw prep|para=for pro:rel|que=that pro:obj|le-m=him v|deci-13S&SUB&PRES=say .,%mor:
214,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,636,.,atalo (.) cuando lo coges .%mor: imp|ata-2S&IMP~pro:clit|OBJ&m=fasten conj|cuando=when pro:obj|le-m=him v|coge-2S&PRES=take .,%mor:
215,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,639,.,ma va ve .%mor: co|ma co|va=go co|ve=see .,%mor:
216,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,642,.,ay ay ay .%mor: co|ay=ay co|ay=ay co|ay=ay .,%mor:
217,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,644,?,que ?%mor: pro:rel|que=that ?,%mor:
218,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,646,.,ay (.) ay ay .%mor: co|ay=ay co|ay=ay co|ay=ay .,%mor:
219,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,648,.,"va , va (.) que quema .%mor: co|va=go cm|cm co|va=go pro:rel|que=that v|quema-3S&PRES=burn .",%mor:
220,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,650,.,mira ya lo que se ha comido .%mor: co|mira=look adv|ya=already pro:obj|le-m=him pro:rel|que=that pro:refl|se=itself aux|habe-3S&PRES=have part|come-PPART-m=eat .,%mor:
221,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,653,!,um: !%mor: co|um !,%mor:
222,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,655,.,que se ha comido los huevos para que (.) que se ha comido los huevos .%mor: pro:rel|que=that pro:refl|se=itself aux|habe-3S&PRES=have part|come-PPART-m=eat det:art|el&m-PL=the n|huevo&m-PL=egg prep|para=for pro:rel|que=that pro:rel|que=that pro:refl|se=itself aux|habe-3S&PRES=have part|come-PPART-m=eat det:art|el&m-PL=the n|huevo&m-PL=egg .,%mor:
223,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,662,.,pongo platos pongo servilletas .%mor: v|pone-1S&PRES=put n|plato&m-PL=dish v|pone-1S&PRES=put n|servilleta&f-PL=napkin .,%mor:
224,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,665,.,ji ji ji vamos a cogerlas se han caido .%mor: co|ji=ha co|ji=ha co|ji=ha v|i-1P&PRES=go prepart|a=to inf|coge-INF~pro:clit|OBJ&f&PL=take pro:refl|se=itself aux|habe-3P&PRES=have part|cae-PPART-m=fall .,%mor:
225,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,669,.,sí Juan (.) sí Juan .%mor: co|sí=yes n:prop|Juan co|sí=yes n:prop|Juan .,%mor:
226,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,671,.,voy comiendo yo riu@b riu@b ot(r)o [*] voy comiendo tu .%mor: v|i-1S&PRES=go part|come-PRPART=eat pro:sub|yo=I bab|riu bab|riu qn|otro-m=other v|i-1S&PRES=go part|come-PRPART=eat det:poss|tu=your .,%mor:
227,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,675,?,donde seguimos ?%mor: pro:rel|donde=where v|segui-1P&PRES&PRET=follow ?,%mor:
228,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,677,.,que a que las llamas comen esto .%mor: pro:rel|que=that prepart|a=to pro:rel|que=that det:art|el&f-PL=the n|llama&f-PL=flame v|come-3P&PRES=eat pro:dem|esto=this_one .,%mor:
229,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,680,.,a que las llamas comen a esto .%mor: prepart|a=to pro:rel|que=that det:art|el&f-PL=the n|llama&f-PL=flame v|come-3P&PRES=eat prepart|a=to pro:dem|esto=this_one .,%mor:
230,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,684,.,sí pero te vas a caer de la silla .%mor: co|sí=yes conj|pero=but pro:obj|te=you v|i-2S&PRES=go prepart|a=to inf|cae-INF=fall prep|de=of det:art|el&f&SG=the n|silla&f=chair .,%mor:
231,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,687,.,yo sí puedo ja ja he comido lechuga .%mor: pro:sub|yo=I co|sí=yes v|pode-1S&PRES=can co|ja=ha co|ja=ha aux|habe-1S&PRES=have part|come-PPART-m=eat n|lechuga&f=lettuce .,%mor:
232,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,690,.,nos va a coger la llama amigos .%mor: pro:obj|nos=us v|i-3S&PRES=go prepart|a=to inf|coge-INF=take det:art|el&f&SG=the n|llama&f=flame n|amigo-m-PL=friend .,%mor:
233,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,694,.,atentos la lechuga .%mor: adj|atento-m-PL=attentive det:art|el&f&SG=the n|lechuga&f=lettuce .,%mor:
234,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,696,.,uno se cayó .%mor: pro:indef|uno=one pro:refl|se=itself v|cae-3S&PRET=fall .,%mor:
235,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,698,.,el conejo y el león la llama no porque es muy floja se ha hecho daño .%mor: det:art|el&m&SG=the n|conejo-m=rabbit coord|y=and det:art|el&m&SG=the n|león&m=lion det:art|el&f&SG=the n|llama&f=flame adv|no=no conj|porque=because cop|se-3S&PRES=be adv|muy=very adj|flojo-f=loose pro:refl|se=itself aux|habe-3S&PRES=have part|hace-PPART-m=do v|daña-1S&PRES=harm .,%mor:
236,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,705,?,donde está ?%mor: pro:rel|donde=where cop|esta-3S&PRES=be ?,%mor:
237,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,707,.,ahí Rosquilla se murió porque se subió aquí arriba .%mor: adv|ahí=there n:prop|Rosquilla pro:refl|se=itself v|mori-3S&PRET=die conj|porque=because pro:refl|se=itself v|subi-3S&PRET=go_up adv|aquí=here adv|arriba=above .,%mor:
238,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,711,.,se cayó .%mor: pro:refl|se=itself v|cae-3S&PRET=fall .,%mor:
239,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,713,.,uu hasta aquí arriba .%mor: co|uu prep|hasta=until adv|aquí=here adv|arriba=above .,%mor:
240,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,715,.,subió hasta aquí y turru@o (.) ya turru@o ya pig@s pig@s pig@s .%mor: v|subi-3S&PRET=go_up prep|hasta=until adv|aquí=here coord|y=and on|turru adv|ya=already on|turru adv|ya=already L2|pig L2|pig L2|pig .,%mor:
